bookingId,airbnbHostId,listingId,amenitiesId,airbnbPropertyId,reviewId,checkInOutId,locationId,pricingId,occupancyRateLtm,numberOfBookingsLtm,numberOfBookingsLtmObservedMonth,countBlockedDaysLtm,instantBookEnabled,countReservationDaysLtm,countavailableDaysLtm,annualRevenueLtmUSD,annualRevenueLtmNative
MIABOK255,123284991,MIALIS255,MIAAMT255,48610407,MIAREV255,MIACHK255,MIALOC255,MIAPRC255,34,23,20,45,TRUE,91,320,38243,38243
MIABOK212,19793,MIALIS212,MIAAMT212,29435143,MIAREV212,MIACHK212,MIALOC212,MIAPRC212,12,0,-11,355,FALSE,1,10,1186,1186
MIABOK118,84903164,MIALIS118,MIAAMT118,21975521,MIAREV118,MIACHK118,MIALOC118,MIAPRC118,100,4,-6,352,FALSE,13,13,1735,1735
MIABOK239,1351407,MIALIS239,MIAAMT239,48266700,MIAREV239,MIACHK239,MIALOC239,MIAPRC239,12,0,-3,334,FALSE,3,31,2046,2046
MIABOK242,399863384,MIALIS242,MIAAMT242,49969181,MIAREV242,MIACHK242,MIALOC242,MIAPRC242,75,4,1,275,FALSE,56,90,8168,8168
MIABOK344,127614763,MIALIS344,MIAAMT344,19914792,MIAREV344,MIACHK344,MIALOC344,MIAPRC344,91,2,-1,340,FALSE,19,25,1228,1228
MIABOK249,18017502,MIALIS249,MIAAMT249,21492086,MIAREV249,MIACHK249,MIALOC249,MIAPRC249,40,3,-7,365,TRUE,0,0,983,983
MIABOK279,392500657,MIALIS279,MIAAMT279,48899928,MIAREV279,MIACHK279,MIALOC279,MIAPRC279,24,3,-2,360,TRUE,1,5,686,686
MIABOK292,121249803,MIALIS292,MIAAMT292,22673249,MIAREV292,MIACHK292,MIALOC292,MIAPRC292,55,15,12,236,FALSE,59,129,2909,2909
MIABOK475,18778308,MIALIS475,MIAAMT475,15988402,MIAREV475,MIACHK475,MIALOC475,MIAPRC475,20,0,6,363,FALSE,0,2,258,258
MIABOK353,320684118,MIALIS353,MIAAMT353,41927966,MIAREV353,MIACHK353,MIALOC353,MIAPRC353,35,16,13,39,TRUE,94,326,25106,25106
MIABOK487,358439356,MIALIS487,MIAAMT487,46937394,MIAREV487,MIACHK487,MIALOC487,MIAPRC487,58,8,5,184,FALSE,88,181,9758,9758
MIABOK131,23331798,MIALIS131,MIAAMT131,51234249,MIAREV131,MIACHK131,MIALOC131,MIAPRC131,67,33,30,53,TRUE,175,312,84275,84275
